AUTHORITATIVE record of the 2026-07-27 01:56 accidental deletion.
Source: NTFS USN change journal (fsutil usn readjournal C:), parsed for File-delete
records in the incident minute. Preserved here because the journal is capped at 32 MB
and wraps within about a day -- after that this list cannot be reconstructed.
USN records carry the NAME, not the path. RESTORED = a file of that name exists in the
repo again (the deletion took whole trees, so a name returning means its tree returned).

3194 distinct names deleted; 2712 restored; 482 still absent.

STATUS     KIND   NAME
RESTORED   file   .gitkeep
ABSENT     file   .sig
ABSENT     DIR    000400000003F0C92CF79CB8
ABSENT     DIR    0006000000030D9D150C669C
ABSENT     DIR    000A000000030DBF167250E8
RESTORED   file   1517251043751800272
ABSENT     DIR    394408d64e4f
ABSENT     file   AUTO_MERGE.lock
RESTORED   file   CHANGELOG.md
RESTORED   file   COMPLETE
ABSENT     file   EtwRTAdmin_PS_Provider.etl
RESTORED   file   F3_stylised_facts.pdf
RESTORED   file   F3_stylised_facts.png
RESTORED   file   F4_splits_timeline.pdf
RESTORED   file   F4_splits_timeline.png
RESTORED   file   F_equivalence_forest.pdf
RESTORED   file   F_equivalence_forest.png
RESTORED   file   F_evidence_for_null.pdf
RESTORED   file   F_evidence_for_null.png
RESTORED   file   F_reward_code_similarity.pdf
RESTORED   file   F_reward_code_similarity.png
RESTORED   file   F_risk_return_clouds.pdf
RESTORED   file   F_risk_return_clouds.png
RESTORED   file   F_rliable_intervals.pdf
RESTORED   file   F_rliable_intervals.png
RESTORED   file   HEAD
ABSENT     file   HEAD.lock
RESTORED   file   ORIG_HEAD
RESTORED   file   README.md
ABSENT     DIR    REHEARSAL_20260713_062703
ABSENT     DIR    REHEARSAL_20260713_180954
RESTORED   DIR    _env
ABSENT     file   _msg_filter_20260726T172803Z.py
ABSENT     file   _msg_filter_20260726T173313Z.py
ABSENT     DIR    a100_probe_v
ABSENT     DIR    a9310d8cbb9f
ABSENT     file   allocation_state.json
RESTORED   file   analysis.json
RESTORED   file   analysis_report.md
ABSENT     file   analyze_campaign.log
RESTORED   file   anomalies.jsonl
RESTORED   file   archive_integrity.json
ABSENT     file   archive_integrity_verify.log
