model,arm,runs,Sharpe,return/yr,volatility,CVaR-5%,max DD,Sortino,Calmar,turnover,Sharpe gross,hit rate,skew,kurtosis,holdings,crash rate
opus_5,distributional,30,1.0527,0.1257,0.1187,-0.0164,-0.1756,1.0481,0.7313,0.057,1.1733,0.5391,-0.1149,6.688,11.4754,0.0
opus_5,scalar,30,1.1354,0.1614,0.1414,-0.0195,-0.2013,1.1408,0.8205,0.0284,1.186,0.5397,-0.0386,7.3743,10.8581,0.0
opus_5,scalar_cvar5,30,1.1558,0.158,0.1355,-0.0187,-0.1851,1.1642,0.87,0.0214,1.1951,0.5402,-0.0248,7.5045,11.0932,0.0
opus_5,placebo,30,1.1454,0.1522,0.1327,-0.0183,-0.1893,1.1485,0.8304,0.0129,1.17,0.5405,-0.0715,7.2116,11.9438,0.0
opus_5,placebo_shuffled,30,1.1047,0.1542,0.139,-0.0192,-0.204,1.1129,0.7746,0.0328,1.164,0.537,-0.0199,7.3483,11.5398,0.0
deepseek_v4_pro,distributional,30,1.1627,0.1651,0.1414,-0.0195,-0.1987,1.1695,0.8488,0.0103,1.1812,0.5397,-0.0586,7.2296,11.0911,0.0
deepseek_v4_pro,scalar,30,1.1781,0.1656,0.1402,-0.0194,-0.1968,1.1867,0.8569,0.0076,1.1917,0.5396,-0.0486,7.3952,12.6845,0.0
deepseek_v4_pro,scalar_cvar5,30,1.1701,0.1638,0.1398,-0.0194,-0.2003,1.1795,0.8334,0.0141,1.1954,0.5391,-0.0395,7.3706,13.6542,0.0
deepseek_v4_pro,placebo,30,1.1555,0.1627,0.1406,-0.0195,-0.1954,1.1641,0.8588,0.0073,1.1687,0.5392,-0.0433,7.522,13.5262,0.0
deepseek_v4_pro,placebo_shuffled,30,1.1181,0.1575,0.1405,-0.0195,-0.1976,1.1229,0.8275,0.0211,1.1556,0.5387,-0.064,7.3148,11.2027,0.0
gemini_2_5_flash,distributional,30,-0.2162,-0.0424,0.1996,-0.0289,-0.557,-0.2157,-0.0612,0.8891,0.9096,0.475,0.4031,14.186,3.5746,0.0
gemini_2_5_flash,scalar,30,0.7988,0.1224,0.1513,-0.0212,-0.2549,0.8008,0.4927,0.2161,1.1615,0.5285,-0.0505,7.1786,9.8382,0.0
gemini_2_5_flash,scalar_cvar5,30,1.0337,0.1272,0.1224,-0.0168,-0.1814,1.0378,0.7145,0.0318,1.099,0.5358,-0.0514,6.6337,10.2052,0.0
gemini_2_5_flash,placebo,30,0.796,0.1207,0.151,-0.021,-0.2335,0.8088,0.5384,0.1858,1.1086,0.5268,0.1896,10.4609,9.5738,0.0
gemini_2_5_flash,placebo_shuffled,30,0.4949,0.0748,0.1477,-0.0209,-0.275,0.4959,0.2882,0.3659,1.1218,0.5183,-0.0331,7.2731,9.9399,0.0
glm_5_2,distributional,30,0.6516,0.1001,0.1503,-0.0212,-0.2758,0.6563,0.4195,0.2858,1.1433,0.5226,-0.0518,7.1784,9.7767,0.0
glm_5_2,scalar,30,0.4442,0.0674,0.1495,-0.0213,-0.2874,0.4444,0.2806,0.4052,1.1295,0.5156,-0.0737,7.5174,8.9049,0.0
glm_5_2,scalar_cvar5,30,1.2135,0.1706,0.1404,-0.0195,-0.1986,1.2243,0.8725,0.0095,1.2305,0.5391,-0.0513,7.6237,13.4989,0.0
glm_5_2,placebo,30,1.1534,0.1629,0.141,-0.0196,-0.199,1.1614,0.8401,0.0067,1.1654,0.5379,-0.0737,7.4197,13.0423,0.0
